Date,close,Open,High,Low,Vol.,Change %
05 11 2000,1239.55,1242.15,1277.25,1232.35,323.89M,-0.20%
29 10 2000,1242.05,1178.75,1249.20,1155.15,285.78M,5.37%
22 10 2000,1178.70,1171.75,1192.90,1132.90,215.52M,0.57%
15 10 2000,1172.00,1177.85,1228.80,1108.20,297.26M,-0.40%
08 10 2000,1176.75,1285.05,1286.35,1167.50,248.54M,-8.42%
01 10 2000,1285.00,1270.75,1306.45,1254.35,193.94M,1.05%
24 09 2000,1271.65,1268.40,1305.10,1249.35,248.59M,0.41%
17 09 2000,1266.45,1416.05,1416.05,1261.20,239.18M,-10.64%
10 09 2000,1417.20,1449.35,1482.00,1411.55,231.92M,-2.27%
03 09 2000,1450.05,1395.95,1453.15,1395.95,260.88M,4.01%
27 08 2000,1394.10,1379.60,1397.30,1360.65,161.18M,0.93%
20 08 2000,1381.25,1358.75,1398.90,1358.75,257.62M,1.71%
13 08 2000,1358.05,1312.25,1363.05,1295.45,186.93M,3.61%
06 08 2000,1310.75,1319.70,1363.95,1299.90,197.51M,-0.59%
30 07 2000,1318.55,1333.30,1344.50,1302.65,167.76M,-1.14%
23 07 2000,1333.80,1397.05,1397.05,1269.25,215.48M,-4.54%
16 07 2000,1397.25,1509.25,1512.25,1394.30,210.49M,-7.45%
09 07 2000,1509.75,1518.15,1564.75,1502.70,228.27M,-0.52%
02 07 2000,1517.60,1473.45,1530.90,1473.45,211.12M,3.14%
25 06 2000,1471.45,1472.15,1505.75,1431.25,176.57M,-0.05%
18 06 2000,1472.20,1477.55,1539.10,1461.30,204.85M,-0.35%
11 06 2000,1477.30,1464.40,1480.85,1411.90,173.05M,0.69%
04 06 2000,1467.20,1390.95,1485.50,1390.95,201.89M,5.61%
28 05 2000,1389.25,1273.70,1410.75,1267.40,199.30M,8.93%
